date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:05	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Feb%202024%2008:18:04%20GMT	https://kekma.net/robots.txt		(from )
15:18:05	2505/2505	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Aug%202023%2016:22:14%20GMT	https://kekma.net/	C:/My%20Web%20Sites/a/kekma.net/index.html	(from )
15:18:06	1345/1345	---MCZ	200	added ('OK')	text/css	etag:W/%2264ee1b00-541%22	https://kekma.net/styles.css	C:/My%20Web%20Sites/a/kekma.net/styles.css	(from https://kekma.net/)
15:18:06	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14979%22	https://code.jquery.com/jquery-2.1.4.min.js	C:/My%20Web%20Sites/a/code.jquery.com/jquery-2.1.4.min.js	(from https://kekma.net/)
15:18:06	32235/32235	---M--	200	added ('OK')	image/jpeg	etag:%2260316142-7deb%22	https://kekma.net/button.jpg	C:/My%20Web%20Sites/a/kekma.net/button.jpg	(from https://kekma.net/)
15:18:06	4112/4112	---M--	200	added ('OK')	image/jpeg	etag:%2264ee1ad6-1010%22	https://kekma.net/8mggbk.jpg	C:/My%20Web%20Sites/a/kekma.net/8mggbk.jpg	(from https://kekma.net/)
15:18:07	662016/662016	---M--	200	added ('OK')	audio/mpeg	etag:%2260316142-a1a00%22	https://kekma.net/scream.mp3	C:/My%20Web%20Sites/a/kekma.net/scream.mp3	(from https://kekma.net/)
15:18:07	291504/291504	---M--	200	added ('OK')	audio/mpeg	etag:%2260316142-472b0%22	https://kekma.net/rape.mp3	C:/My%20Web%20Sites/a/kekma.net/rape.mp3	(from https://kekma.net/)
15:18:08	342166/342166	---M--	200	added ('OK')	image/gif	etag:%22634557c6-53896%22	https://kekma.net/naggars.gif	C:/My%20Web%20Sites/a/kekma.net/naggars.gif	(from https://kekma.net/)
15:18:08	564/564	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Feb%202024%2008:18:07%20GMT	https://kekma.net/swasticock2.png	C:/My%20Web%20Sites/a/kekma.net/swasticock2.png	(from https://kekma.net/styles.css)
15:18:08	3546298/3546298	---M--	200	added ('OK')	video/mp4	etag:%2260316142-361cba%22	https://kekma.net/zzart.mp4	C:/My%20Web%20Sites/a/kekma.net/zzart.mp4	(from https://kekma.net/)
